bvid,title,date,seed_word,left,node,right
BV1NT421Y71A,职场女孩被工作压力逼到深山老林自寻短见，超治愈电影推荐!,2024-06-24 08:54,工作,,工作,压力 不敢 辞职 决定 没人
BV1NT421Y71A,职场女孩被工作压力逼到深山老林自寻短见，超治愈电影推荐!,2024-06-24 08:54,压力,工作,压力,不敢 辞职 决定 没人 脚落
BV1NT421Y71A,职场女孩被工作压力逼到深山老林自寻短见，超治愈电影推荐!,2024-06-24 08:54,年轻人,冷清清 老板 和谈 年龄 相访,年轻人,女孩 竟然 三东 人来 住宿
BV1NT421Y71A,职场女孩被工作压力逼到深山老林自寻短见，超治愈电影推荐!,2024-06-24 08:54,年轻人,早就 猜到 千河来 目的 眼睛,年轻人,心目 自杀 生地 天村 千河
BV1NT421Y71A,职场女孩被工作压力逼到深山老林自寻短见，超治愈电影推荐!,2024-06-24 08:54,选择,毫不 适弱 表较 眼睛 毫不,选择,挑下去 转而 天村 早点 告诉
BV1NT421Y71A,职场女孩被工作压力逼到深山老林自寻短见，超治愈电影推荐!,2024-06-24 08:54,意义,天村 天来 手表 天村 重要,意义,选择 摘下来 天河 回去 千河
BV1NT421Y71A,职场女孩被工作压力逼到深山老林自寻短见，超治愈电影推荐!,2024-06-24 08:54,选择,天来 手表 天村 重要 意义,选择,摘下来 天河 回去 千河 这份
BV1NT421Y71A,职场女孩被工作压力逼到深山老林自寻短见，超治愈电影推荐!,2024-06-24 08:54,工作,出门 后要 四堂 地铁 上车,工作,中和头 牵下来 上次 服务 不好
BV1NT421Y71A,职场女孩被工作压力逼到深山老林自寻短见，超治愈电影推荐!,2024-06-24 08:54,工作,放松 辞职 意味着 放级 优质,工作,计划 不知不觉 千河 田村 清楚
BV1NT421Y71A,职场女孩被工作压力逼到深山老林自寻短见，超治愈电影推荐!,2024-06-24 08:54,公司,自杀 人南 分手 南有 根本,公司,辞职 从未 察觉到 精神状态 变化
