rank,word,mean_tfidf
1,一個,0.03783
2,工作,0.03384
3,一下,0.03221
4,公司,0.02453
5,东西,0.02165
6,怎麼,0.0163
7,问题,0.01606
8,感觉,0.01534
9,时间,0.01494
10,生活,0.01476
11,加班,0.01367
12,老板,0.0136
13,应该,0.01202
14,学习,0.01161
15,下班,0.01128
16,好吃,0.01121
17,比较,0.01111
18,每天,0.01076
19,努力,0.01067
20,味道,0.01062
21,那种,0.01053
22,工人,0.01011
23,其實,0.01007
24,不會,0.00995
25,日本,0.00957
26,開始,0.00951
27,世界,0.00942
28,几个,0.0094
29,休息,0.0094
30,這些,0.0094
31,游戏,0.00935
32,我要,0.00933
33,明天,0.00928
34,朋友,0.00924
35,身体,0.0092
36,中国,0.00915
37,手机,0.00915
38,只能,0.00892
39,有点,0.00891
40,上班,0.00891
41,想要,0.00889
42,不行,0.00875
43,不想,0.00872
44,以后,0.00871
45,小时,0.00865
46,下来,0.00865
47,兄弟,0.00857
48,音乐,0.0085
49,不错,0.00832
50,谢谢,0.00832
