,word
0,一一
1,一万
2,一上
3,一下
4,一下子
5,一世
6,一丝
7,一个个
8,一个月
9,一个点
10,一中
11,一串
12,一事
13,一二
14,一人
15,一代
16,一件
17,一份
18,一会
19,一会儿
20,一位
21,一体
22,一個
23,一倍
24,一八
25,一共
26,一出
27,一分
28,一分钱
29,一切都是
30,一到
31,一刻
32,一副
33,一勺
34,一包
35,一千
36,一半
37,一双
38,一发
39,一口
40,一口气
41,一句
42,一只
43,一台
44,一号
45,一同
46,一名
47,一向
48,一员
49,一周
50,一回
51,一圈
52,一场
53,一块
54,一块钱
55,一堆
56,一場
57,一塊
58,一声
59,一夜
60,一大
61,一大口
62,一大早
63,一头
64,一套
65,一学
66,一家
67,一家人
68,一对
69,一小
70,一局
71,一层
72,一岁
73,一己
74,一带
75,一幅
76,一幕
77,一年
78,一度
79,一座
80,一开
81,一张
82,一張
83,一心
84,一想
85,一手
86,一打
87,一批
88,一把
89,一招
90,一排
91,一支
92,一整
93,一整天
94,一斤
95,一方
96,一旁
97,一日
98,一时
99,一是
100,一時
101,一會
102,一月
103,一期
104,一本
105,一条
106,一杯
107,一根
108,一條
109,一楼
110,一模
111,一模一样
112,一樣
113,一款
114,一步
115,一段
116,一段时间
117,一比
118,一波
119,一点一点
120,一点点
121,一片
122,一班
123,一生
124,一番
125,一百
126,一盒
127,一盘
128,一看
129,一眼
130,一瞬间
131,一碗
132,一碟
133,一种
134,一種
135,一端
136,一笑
137,一笔
138,一篇
139,一类
140,一系列
141,一级
142,一线
143,一群
144,一股
145,一脸
146,一致
147,一般来说
148,一色
149,一节
150,一號
151,一行
152,一角
153,一趟
154,一路
155,一身
156,一輩子
157,一轮
158,一辆
159,一辈子
160,一边
161,一进
162,一遍
163,一道
164,一邊
165,一部
166,一部分
167,一锅
168,一開始
169,一間
170,一门
171,一集
172,一面
173,一頭
174,一顆
175,一项
176,一顿
177,一颗
178,一首
179,一黑
180,一點
181,一點點
182,七八
183,七天
184,七百
185,万万
186,万个
187,万人
188,万元
189,万多
190,丈夫
191,三下
192,三个
193,三人
194,三代
195,三位
196,三個
197,三倍
198,三分
199,三分钟
200,三十
201,三十年
202,三千
203,三四
204,三块
205,三天
206,三年
207,三星
208,三次
209,三款
210,三点
211,三百
212,三种
213,三級
214,三角
215,三连
216,三點
217,上传
218,上來
219,上入
220,上升
221,上午
222,上半身
223,上去
224,上头
225,上学
226,上學
227,上山
228,上市
229,上市公司
230,上帝
231,上年
232,上手
233,上方
234,上来
235,上次
236,上海
237,上涨
238,上班
239,上盖
240,上線
241,上级
242,上线
243,上网
244,上菜
245,上课
246,上路
247,上車
248,上车
249,上述
250,上限
251,上面
252,下一代
253,下一個
254,下个
255,下來
256,下個
257,下入
258,下午
259,下半身
260,下单
261,下去
262,下场
263,下定
264,下巴
265,下手
266,下方
267,下期
268,下来
269,下次
270,下水
271,下沉
272,下滑
273,下班
274,下行
275,下跌
276,下載
277,下车
278,下载
279,下边
280,下锅
281,下降
282,下限
283,下雨
284,下面
285,下饭
286,不一樣
287,不上
288,不下
289,不久
290,不了
291,不仅仅
292,不以
293,不住
294,不來
295,不信
296,不停
297,不僅
298,不像
299,不公
300,不再
301,不准
302,不出
303,不利
304,不到
305,不动
306,不動
307,不去
308,不及
309,不可
310,不吃
311,不合
312,不合理
313,不同
314,不在乎
315,不多
316,不够
317,不夠
318,不大
319,不太
320,不太可能
321,不太好
322,不好
323,不好意思
324,不学
325,不安
326,不定
327,不客
328,不对劲
329,不小
330,不少
331,不屬
332,不差
333,不带
334,不干
335,不幸
336,不得不
337,不得了
338,不必
339,不快
340,不怎么
341,不惜
342,不想
343,不應
344,不敢
345,不断
346,不斷
347,不明
348,不易
349,不會
350,不来
351,不止
352,不正
353,不满
354,不爱
355,不爽
356,不理
357,不生
358,不用说
359,不看
360,不知
361,不知不觉
362,不知所措
363,不算
364,不給
365,不肯
366,不能不
367,不良
368,不花
369,不著
370,不行
371,不見
372,不覺
373,不见
374,不让
375,不许
376,不该
377,不说
378,不谢
379,不起
380,不足
381,不過
382,不錯
383,不错
384,不願
385,不高
386,专业
387,专家
388,专注
389,专门
390,世界
391,世界观
392,世紀
393,世纪
394,业务
395,东京
396,东西
397,丢人
398,两人
399,两位
400,两侧
401,两分
402,两只
403,两块
404,两天
405,两层
406,两年
407,两张
408,两条
409,两根
410,两次
411,两点
412,两百
413,两种
414,两边
415,两部
416,两颗
417,严格
418,严肃
419,严重
420,並且
421,並沒有
422,个人
423,个体
424,个头
425,中午
426,中国
427,中國
428,中國人
429,中央
430,中学
431,中心
432,中文
433,中有
434,中期
435,中等
436,中華
437,中路
438,中途
439,中間
440,中间
441,丰富
442,为主
443,为啥
444,主义
445,主人
446,主力
447,主动
448,主動
449,主导
450,主席
451,主张
452,主意
453,主打
454,主持
455,主持人
456,主播
457,主机
458,主板
459,主流
460,主管
461,主要
462,主观
463,主角
464,主题
465,举个
466,举报
467,举起
468,久久
469,之下
470,之中
471,之内
472,之力
473,之外
474,之心
475,之間
476,之间
477,乐意
478,乐观
479,乖乖
480,九九
481,也就是说
482,也许
483,习惯
484,买不起
485,买个
486,买房
487,买点
